draw,date,ad_date,numbers,price,lottery_type
103000279,103/11/21,2014-11-21,"02,24,36,37,38",8000000,daily_cash
103000280,103/11/22,2014-11-22,"05,09,10,22,25",8000000,daily_cash
103000281,103/11/24,2014-11-24,"10,18,25,26,39",8000000,daily_cash
103000282,103/11/25,2014-11-25,"03,08,14,32,37",8000000,daily_cash
103000283,103/11/26,2014-11-26,"04,05,07,15,36",8000000,daily_cash
103000284,103/11/27,2014-11-27,"02,14,19,20,35",8000000,daily_cash
103000285,103/11/28,2014-11-28,"23,26,30,34,39",8000000,daily_cash
103000286,103/11/29,2014-11-29,"02,16,18,23,30",8000000,daily_cash
103000287,103/12/01,2014-12-01,"10,12,20,27,37",8000000,daily_cash
103000288,103/12/02,2014-12-02,"17,19,22,24,37",8000000,daily_cash
103000289,103/12/03,2014-12-03,"09,20,21,23,35",8000000,daily_cash
103000290,103/12/04,2014-12-04,"11,16,18,19,28",8000000,daily_cash
103000291,103/12/05,2014-12-05,"14,16,20,25,36",8000000,daily_cash
103000292,103/12/06,2014-12-06,"01,14,18,32,37",8000000,daily_cash
103000293,103/12/08,2014-12-08,"02,08,24,27,35",8000000,daily_cash
103000294,103/12/09,2014-12-09,"04,09,13,21,32",8000000,daily_cash
103000295,103/12/10,2014-12-10,"03,11,30,33,39",8000000,daily_cash
103000296,103/12/11,2014-12-11,"11,13,32,33,37",8000000,daily_cash
103000297,103/12/12,2014-12-12,"03,17,24,36,38",8000000,daily_cash
103000298,103/12/13,2014-12-13,"17,22,25,35,37",8000000,daily_cash
103000299,103/12/15,2014-12-15,"17,20,23,26,35",8000000,daily_cash
103000300,103/12/16,2014-12-16,"04,21,22,24,34",8000000,daily_cash
103000301,103/12/17,2014-12-17,"02,04,25,26,36",8000000,daily_cash
103000302,103/12/18,2014-12-18,"04,05,16,23,32",8000000,daily_cash
103000303,103/12/19,2014-12-19,"10,15,17,22,27",8000000,daily_cash
103000304,103/12/20,2014-12-20,"04,15,17,21,22",8000000,daily_cash
103000305,103/12/22,2014-12-22,"06,08,17,27,29",8000000,daily_cash
103000306,103/12/23,2014-12-23,"11,18,21,30,38",8000000,daily_cash
103000307,103/12/24,2014-12-24,"08,19,24,33,36",8000000,daily_cash
103000308,103/12/25,2014-12-25,"16,21,26,28,29",8000000,daily_cash
103000309,103/12/26,2014-12-26,"07,27,31,33,34",8000000,daily_cash
103000310,103/12/27,2014-12-27,"11,16,28,32,34",8000000,daily_cash
103000311,103/12/29,2014-12-29,"07,19,20,26,39",8000000,daily_cash
103000312,103/12/30,2014-12-30,"04,05,21,24,26",8000000,daily_cash
103000313,103/12/31,2014-12-31,"05,19,26,30,33",8000000,daily_cash
104000001,104/01/01,2015-01-01,"10,11,21,26,32",8000000,daily_cash
